id,full_name,url,stars,forks,forked,commits,open_issue,closed_issue
159249114,tensorflow/addons,https://api.github.com/repos/tensorflow/addons,1438,538,False,1497,69,885
156651320,TavoGLC/DataAnalysisByExample,https://api.github.com/repos/TavoGLC/DataAnalysisByExample,24,12,False,98,0,1
239201565,serengil/deepface,https://api.github.com/repos/serengil/deepface,3140,721,False,990,3,625
72647345,ECP-CANDLE/Benchmarks,https://api.github.com/repos/ECP-CANDLE/Benchmarks,44,75,False,1552,22,7
166622408,GantMan/nsfw_model,https://api.github.com/repos/GantMan/nsfw_model,864,172,False,129,33,71
159555286,CalculatedContent/WeightWatcher,https://api.github.com/repos/CalculatedContent/WeightWatcher,579,67,False,933,40,103
44731840,lablup/backend.ai-kernels,https://api.github.com/repos/lablup/backend.ai-kernels,25,12,False,3557,20,85
129317474,tensorflow/docs,https://api.github.com/repos/tensorflow/docs,5070,4785,False,10439,0,0
295412220,PacktPublishing/Machine-Learning-Engineering-with-MLflow,https://api.github.com/repos/PacktPublishing/Machine-Learning-Engineering-with-MLflow,37,21,False,54,0,15
162919890,neomatrix369/awesome-ai-ml-dl,https://api.github.com/repos/neomatrix369/awesome-ai-ml-dl,1007,294,False,1304,3,9
225545436,datawhalechina/competition-baseline,https://api.github.com/repos/datawhalechina/competition-baseline,2605,795,False,315,0,18
391777965,leondgarse/keras_cv_attention_models,https://api.github.com/repos/leondgarse/keras_cv_attention_models,95,13,False,689,4,37
151525500,sql-machine-learning/sqlflow,https://api.github.com/repos/sql-machine-learning/sqlflow,4440,660,False,2222,246,778
191001113,gaphex/bert_experimental,https://api.github.com/repos/gaphex/bert_experimental,71,29,False,65,4,3
394089041,spiceai/spiceai,https://api.github.com/repos/spiceai/spiceai,703,28,False,381,34,161
263364731,mlco2/codecarbon,https://api.github.com/repos/mlco2/codecarbon,353,45,False,1305,58,110
306153230,IBM/watson-openscale-samples,https://api.github.com/repos/IBM/watson-openscale-samples,12,13,False,229,2,0
240943599,GoogleCloudPlatform/mlops-on-gcp,https://api.github.com/repos/GoogleCloudPlatform/mlops-on-gcp,381,865,False,779,24,3
50407897,wx-chevalier/AI-Series,https://api.github.com/repos/wx-chevalier/AI-Series,714,248,False,316,0,2
63240796,ThomasYeoLab/CBIG,https://api.github.com/repos/ThomasYeoLab/CBIG,310,257,False,104,7,37
174168383,murthylab/sleap,https://api.github.com/repos/murthylab/sleap,133,28,False,0,0,0
96311842,serengil/tensorflow-101,https://api.github.com/repos/serengil/tensorflow-101,778,554,False,467,1,24
35236880,AllenInstitute/AllenSDK,https://api.github.com/repos/AllenInstitute/AllenSDK,248,124,False,6760,345,1269
51117837,tensorflow/models,https://api.github.com/repos/tensorflow/models,72662,45437,False,8865,1051,6023
233918564,salesforce/ml4ir,https://api.github.com/repos/salesforce/ml4ir,64,22,False,182,12,1
138786192,stardist/stardist,https://api.github.com/repos/stardist/stardist,368,114,False,842,32,156
