id,full_name,url,stars,forks,forked,commits,open_issue,closed_issue,collaborators
188732560,jim-schwoebel/allie,https://api.github.com/repos/jim-schwoebel/allie,90,22,False,3394,16,22,1
138826968,XiaoMi/mace,https://api.github.com/repos/XiaoMi/mace,4564,789,False,3344,51,617,49
145453331,JohnSnowLabs/spark-nlp-workshop,https://api.github.com/repos/JohnSnowLabs/spark-nlp-workshop,643,377,False,3315,1,72,58
68254498,cleverhans-lab/cleverhans,https://api.github.com/repos/cleverhans-lab/cleverhans,5394,1347,False,3203,25,422,110
173249347,generalized-iou/g-tensorflow-models,https://api.github.com/repos/generalized-iou/g-tensorflow-models,76,19,False,3176,4,1,382
82204883,uw-cmg/MAST-ML,https://api.github.com/repos/uw-cmg/MAST-ML,64,41,False,3151,23,190,17
135768037,NVIDIA/DALI,https://api.github.com/repos/NVIDIA/DALI,3692,477,False,3015,219,1126,78
65924871,probml/pyprobml,https://api.github.com/repos/probml/pyprobml,4247,986,False,2997,30,421,61
50878370,lamastex/scalable-data-science,https://api.github.com/repos/lamastex/scalable-data-science,148,83,False,2989,0,1,20
29800084,selective-inference/Python-software,https://api.github.com/repos/selective-inference/Python-software,47,29,False,2956,4,3,8
48593532,tensorpack/tensorpack,https://api.github.com/repos/tensorpack/tensorpack,6154,1827,False,2940,7,1343,52
6472554,invesalius/invesalius3,https://api.github.com/repos/invesalius/invesalius3,387,164,False,2915,77,160,20
205706595,mlrun/mlrun,https://api.github.com/repos/mlrun/mlrun,560,117,False,2905,57,159,59
135673451,microsoft/nni,https://api.github.com/repos/microsoft/nni,10937,1551,False,2905,257,1583,172
279468507,PurdueDualityLab/TensorFlowModels,https://api.github.com/repos/PurdueDualityLab/TensorFlowModels,29,12,False,2903,2,2,6
169442310,amaiya/ktrain,https://api.github.com/repos/amaiya/ktrain,945,231,False,2885,0,444,15
281076856,MLReef/mlreef,https://api.github.com/repos/MLReef/mlreef,1361,319,False,2877,0,9,10
262236251,SR-Sunny-Raj/Hacktoberfest2021-DSA,https://api.github.com/repos/SR-Sunny-Raj/Hacktoberfest2021-DSA,242,1108,False,2773,1,114,471
120103318,batermj/data_sciences_campaign,https://api.github.com/repos/batermj/data_sciences_campaign,85,34,False,2764,0,1,1
125098252,onnx/tensorflow-onnx,https://api.github.com/repos/onnx/tensorflow-onnx,1336,308,False,2739,97,800,76
80643958,rstudio/keras,https://api.github.com/repos/rstudio/keras,729,264,False,2730,96,936,34
162232730,yyht/BERT,https://api.github.com/repos/yyht/BERT,30,10,False,2711,5,1,2
146165888,ultralytics/yolov3,https://api.github.com/repos/ultralytics/yolov3,8289,3068,False,2672,11,1770,42
372489086,prathimacode-hub/ML-ProjectKart,https://api.github.com/repos/prathimacode-hub/ML-ProjectKart,130,145,False,2653,42,277,62
208313010,NVIDIA-Merlin/HugeCTR,https://api.github.com/repos/NVIDIA-Merlin/HugeCTR,563,131,False,2607,11,286,42
185998708,digantamisra98/Mish,https://api.github.com/repos/digantamisra98/Mish,1185,124,False,2603,1,31,4
264818686,ultralytics/yolov5,https://api.github.com/repos/ultralytics/yolov5,21813,7706,False,2600,233,7415,294
126507129,Kaggle/learntools,https://api.github.com/repos/Kaggle/learntools,319,185,False,2582,14,15,27
127184470,ambujraj/hacktoberfest2018,https://api.github.com/repos/ambujraj/hacktoberfest2018,140,1068,False,2557,21,6,424
185701977,huaweicloud/ModelArts-Lab,https://api.github.com/repos/huaweicloud/ModelArts-Lab,891,867,False,2536,60,111,276
129366435,stellargraph/stellargraph,https://api.github.com/repos/stellargraph/stellargraph,2268,341,False,2535,283,739,30
154412076,IntelAI/models,https://api.github.com/repos/IntelAI/models,336,140,False,2528,24,30,78
109618587,analysiscenter/radio,https://api.github.com/repos/analysiscenter/radio,207,51,False,2488,20,26,9
281528773,intel/neural-compressor,https://api.github.com/repos/intel/neural-compressor,288,55,False,2477,10,82,90
140285687,osmr/imgclsmob,https://api.github.com/repos/osmr/imgclsmob,2454,499,False,2476,10,84,3
227367327,PINTO0309/PINTO_model_zoo,https://api.github.com/repos/PINTO0309/PINTO_model_zoo,1428,239,False,2445,7,251,15
91284550,studioml/studio,https://api.github.com/repos/studioml/studio,374,52,False,2410,57,195,13
299900184,bhaveshlohana/HacktoberFest2020-Contributions,https://api.github.com/repos/bhaveshlohana/HacktoberFest2020-Contributions,189,1044,False,2347,11,25,454
149458170,acconeer/acconeer-python-exploration,https://api.github.com/repos/acconeer/acconeer-python-exploration,108,43,False,2307,0,115,25
74505259,slundberg/shap,https://api.github.com/repos/slundberg/shap,15357,2318,False,2277,1533,629,160
104001805,HealthRex/CDSS,https://api.github.com/repos/HealthRex/CDSS,64,27,False,2249,84,263,27
151525500,sql-machine-learning/sqlflow,https://api.github.com/repos/sql-machine-learning/sqlflow,4440,660,False,2222,246,778,39
135559956,sentinel-hub/eo-learn,https://api.github.com/repos/sentinel-hub/eo-learn,843,257,False,2205,10,139,37
157936206,tensorflow/agents,https://api.github.com/repos/tensorflow/agents,2175,595,False,2191,155,452,116
118620583,mozilla/TTS,https://api.github.com/repos/mozilla/TTS,5596,901,False,2184,6,533,42
76095264,autorope/donkeycar,https://api.github.com/repos/autorope/donkeycar,2210,1139,False,2174,81,326,110
30907774,spmallick/learnopencv,https://api.github.com/repos/spmallick/learnopencv,15627,9850,False,2143,197,86,67
141200054,tensorflow/examples,https://api.github.com/repos/tensorflow/examples,5791,5986,False,2115,0,0,254
44517034,atmtools/typhon,https://api.github.com/repos/atmtools/typhon,43,32,False,2108,11,46,18
191126383,allegroai/clearml,https://api.github.com/repos/allegroai/clearml,2973,412,False,2009,354,387,68
77790524,Avkash/mldl,https://api.github.com/repos/Avkash/mldl,216,29,False,1988,3,1,1
100326126,plaidml/plaidml,https://api.github.com/repos/plaidml/plaidml,4327,405,False,1987,275,322,49
106888772,henrysky/astroNN,https://api.github.com/repos/henrysky/astroNN,146,40,False,1962,5,9,2
85799683,christophM/interpretable-ml-book,https://api.github.com/repos/christophM/interpretable-ml-book,4003,848,False,1934,27,151,75
36804486,tqdm/tqdm,https://api.github.com/repos/tqdm/tqdm,21075,1073,False,1928,328,561,104
204388414,bojone/bert4keras,https://api.github.com/repos/bojone/bert4keras,4091,794,False,1912,158,317,8
234634164,aws/deep-learning-containers,https://api.github.com/repos/aws/deep-learning-containers,352,219,False,1882,101,63,103
91730359,GoogleCloudPlatform/professional-services,https://api.github.com/repos/GoogleCloudPlatform/professional-services,1982,965,False,1820,22,124,220
93728104,NTMC-Community/MatchZoo,https://api.github.com/repos/NTMC-Community/MatchZoo,3591,914,False,1810,33,429,28
70790978,antoinecarme/pyaf,https://api.github.com/repos/antoinecarme/pyaf,353,57,False,1784,19,161,2
81080747,davidam/python-examples,https://api.github.com/repos/davidam/python-examples,12,11,False,1752,0,0,2
75482295,riga/law,https://api.github.com/repos/riga/law,46,18,False,1735,9,69,18
24976755,hankcs/HanLP,https://api.github.com/repos/hankcs/HanLP,24932,6644,False,1723,7,1353,35
114747226,deepfakes/faceswap,https://api.github.com/repos/deepfakes/faceswap,40256,11485,False,1722,13,784,80
173964224,federicoparroni/recsys2019,https://api.github.com/repos/federicoparroni/recsys2019,27,14,False,1709,0,0,9
83335474,tiepvupsu/tiepvupsu.github.io,https://api.github.com/repos/tiepvupsu/tiepvupsu.github.io,548,505,False,1696,3,4,21
118431205,wwu-mmll/photonai,https://api.github.com/repos/wwu-mmll/photonai,55,10,False,1695,4,4,13
412498607,sonumahajan/All_Program_helper,https://api.github.com/repos/sonumahajan/All_Program_helper,34,272,False,1676,1,24,386
227332007,nusdbsystem/singa-auto,https://api.github.com/repos/nusdbsystem/singa-auto,10,13,False,1673,12,41,19
371198718,GoogleCloudPlatform/vertex-ai-samples,https://api.github.com/repos/GoogleCloudPlatform/vertex-ai-samples,168,117,False,1655,17,101,96
105699750,yzhao062/pyod,https://api.github.com/repos/yzhao062/pyod,5224,1031,False,1651,142,141,37
56539777,hanhanwu/Hanhan_Data_Science_Practice,https://api.github.com/repos/hanhanwu/Hanhan_Data_Science_Practice,26,14,False,1642,0,0,2
38223600,openvax/mhcflurry,https://api.github.com/repos/openvax/mhcflurry,131,43,False,1638,8,117,10
