id,full_name,url,stars,forks,forked
191442873,spoonsso/dannce,https://api.github.com/repos/spoonsso/dannce,102,18,FALSE
91379993,tensorflow/tensorboard,https://api.github.com/repos/tensorflow/tensorboard,5762,1472,FALSE
67670269,YerevaNN/mimic3-benchmarks,https://api.github.com/repos/YerevaNN/mimic3-benchmarks,545,257,FALSE
135559956,sentinel-hub/eo-learn,https://api.github.com/repos/sentinel-hub/eo-learn,843,257,FALSE
214003948,PennyLaneAI/qml,https://api.github.com/repos/PennyLaneAI/qml,280,84,FALSE
123870315,tensorflow/tfjs,https://api.github.com/repos/tensorflow/tfjs,15942,1670,FALSE
140302908,supervisely/supervisely,https://api.github.com/repos/supervisely/supervisely,371,64,FALSE
91730359,GoogleCloudPlatform/professional-services,https://api.github.com/repos/GoogleCloudPlatform/professional-services,1982,965,FALSE
9626741,Nuitka/Nuitka,https://api.github.com/repos/Nuitka/Nuitka,6374,359,FALSE
119419202,wandb/examples,https://api.github.com/repos/wandb/examples,623,186,FALSE
135768037,NVIDIA/DALI,https://api.github.com/repos/NVIDIA/DALI,3692,477,FALSE
15226547,OpenDrift/opendrift,https://api.github.com/repos/OpenDrift/opendrift,135,79,FALSE
151619717,google-research/google-research,https://api.github.com/repos/google-research/google-research,21768,5128,FALSE
136202695,mlflow/mlflow,https://api.github.com/repos/mlflow/mlflow,11218,2485,FALSE
219892487,aws/aws-neuron-sdk,https://api.github.com/repos/aws/aws-neuron-sdk,225,75,FALSE
66823715,intel-analytics/BigDL,https://api.github.com/repos/intel-analytics/BigDL,3833,964,FALSE
125098252,onnx/tensorflow-onnx,https://api.github.com/repos/onnx/tensorflow-onnx,1336,308,FALSE
217121692,mlrun/functions,https://api.github.com/repos/mlrun/functions,20,34,FALSE
46374199,IntelRealSense/librealsense,https://api.github.com/repos/IntelRealSense/librealsense,5728,4085,FALSE
114898943,SeldonIO/seldon-core,https://api.github.com/repos/SeldonIO/seldon-core,2900,630,FALSE
30907774,spmallick/learnopencv,https://api.github.com/repos/spmallick/learnopencv,15627,9850,FALSE
75482295,riga/law,https://api.github.com/repos/riga/law,46,18,FALSE
281528773,intel/neural-compressor,https://api.github.com/repos/intel/neural-compressor,288,55,FALSE
219743783,amesar/mlflow-examples,https://api.github.com/repos/amesar/mlflow-examples,83,40,FALSE
44996115,fasrc/User_Codes,https://api.github.com/repos/fasrc/User_Codes,34,12,FALSE
6942323,bgruening/galaxytools,https://api.github.com/repos/bgruening/galaxytools,95,174,FALSE
125381318,Trusted-AI/adversarial-robustness-toolbox,https://api.github.com/repos/Trusted-AI/adversarial-robustness-toolbox,2766,770,FALSE
168622088,IDAES/idaes-pse,https://api.github.com/repos/IDAES/idaes-pse,87,127,FALSE
64230020,hcmlab/nova,https://api.github.com/repos/hcmlab/nova,131,28,FALSE
101685392,amygdala/code-snippets,https://api.github.com/repos/amygdala/code-snippets,145,80,FALSE
249942759,GCGImdea/coronasurveys,https://api.github.com/repos/GCGImdea/coronasurveys,19,12,FALSE
208380024,rwepa/DataDemo,https://api.github.com/repos/rwepa/DataDemo,13,17,FALSE
135673451,microsoft/nni,https://api.github.com/repos/microsoft/nni,10937,1551,FALSE
272452525,huggingface/notebooks,https://api.github.com/repos/huggingface/notebooks,668,370,FALSE
394994747,jina-ai/finetuner,https://api.github.com/repos/jina-ai/finetuner,412,23,FALSE
210452618,Adlik/Adlik,https://api.github.com/repos/Adlik/Adlik,491,49,FALSE
123870583,tensorflow/tfjs-examples,https://api.github.com/repos/tensorflow/tfjs-examples,5547,1946,FALSE
306216410,vanderschaarlab/mlforhealthlabpub,https://api.github.com/repos/vanderschaarlab/mlforhealthlabpub,152,73,FALSE
235856774,tensorflow/docs-l10n,https://api.github.com/repos/tensorflow/docs-l10n,429,508,FALSE
