id,full_name,url,stars,forks,commit,openIssue,closedIssue,collaborators
198232685,deepmind/open_spiel,https://api.github.com/repos/deepmind/open_spiel,3078,644,2915,31,312,107
6160207,mjirik/lisa,https://api.github.com/repos/mjirik/lisa,21,13,2904,46,86,13
279468507,PurdueDualityLab/TensorFlowModels,https://api.github.com/repos/PurdueDualityLab/TensorFlowModels,29,12,2903,2,2,7
151619717,google-research/google-research,https://api.github.com/repos/google-research/google-research,21850,5156,2902,480,219,395
174168383,murthylab/sleap,https://api.github.com/repos/murthylab/sleap,135,29,2891,23,324,12
277549433,akshitagupta15june/Face-X,https://api.github.com/repos/akshitagupta15june/Face-X,142,217,2764,28,386,109
24387730,Kitware/SMQTK,https://api.github.com/repos/Kitware/SMQTK,71,58,2760,27,58,22
124620874,timi-liuliang/echo,https://api.github.com/repos/timi-liuliang/echo,658,78,2747,230,894,5
162232730,yyht/BERT,https://api.github.com/repos/yyht/BERT,30,10,2711,5,1,2
123287965,b-it-bots/mas_industrial_robotics,https://api.github.com/repos/b-it-bots/mas_industrial_robotics,11,33,2705,26,35,35
269365590,DeepRegNet/DeepReg,https://api.github.com/repos/DeepRegNet/DeepReg,358,56,2681,3,387,17
125098252,onnx/tensorflow-onnx,https://api.github.com/repos/onnx/tensorflow-onnx,1349,310,2649,75,667,64
293755225,opendr-eu/opendr,https://api.github.com/repos/opendr-eu/opendr,195,30,2646,17,26,25
146165888,ultralytics/yolov3,https://api.github.com/repos/ultralytics/yolov3,8303,3071,2632,12,1700,40
50878370,lamastex/scalable-data-science,https://api.github.com/repos/lamastex/scalable-data-science,148,83,2615,0,1,17
2881789,geekcomputers/Python,https://api.github.com/repos/geekcomputers/Python,24678,10689,2612,148,94,416
111113343,deepmipt/DeepPavlov,https://api.github.com/repos/deepmipt/DeepPavlov,5592,1005,2611,101,503,63
352983353,instadeepai/Mava,https://api.github.com/repos/instadeepai/Mava,325,31,2609,19,156,13
372489086,prathimacode-hub/ML-ProjectKart,https://api.github.com/repos/prathimacode-hub/ML-ProjectKart,131,145,2603,41,271,61
80643958,rstudio/keras,https://api.github.com/repos/rstudio/keras,730,264,2588,78,918,35
169442310,amaiya/ktrain,https://api.github.com/repos/amaiya/ktrain,947,234,2585,1,383,13
247562854,jina-ai/jina-hub,https://api.github.com/repos/jina-ai/jina-hub,95,54,2561,4,356,44
127184470,ambujraj/hacktoberfest2018,https://api.github.com/repos/ambujraj/hacktoberfest2018,140,1068,2557,21,6,427
126414319,stanford-ppl/spatial,https://api.github.com/repos/stanford-ppl/spatial,224,30,2555,68,183,11
136930487,I2PC/xmipp,https://api.github.com/repos/I2PC/xmipp,17,10,2553,15,63,26
